Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22)
0.00012037912580746469,0.05595639656,0.054,0.0,0.0,5.928052593763407e-05,0.8601811509783389,0.0,0.0,0.0,0.06599991288934452,0.0,0.03963769804331674,8.711065560040506e-08
0.00012078463595091564,0.05595639656,0.054,0.0,0.0,5.908183745958746e-05,0.8601810514881022,0.0,0.0,0.0,0.06599991318133959,0.0,0.03963789702378985,8.681866054409964e-08
0.0001211901460943666,0.05595639656,0.054,0.0,0.0,5.888447642959751e-05,0.8601809526625652,0.0,0.0,0.0,0.06599991347138363,0.0,0.03963809467486387,8.652861651668229e-08
0.00012159565623781755,0.05595639656,0.054,0.0,0.0,5.8688429588681635e-05,0.8601808544950886,0.0,0.0,0.0,0.06599991375949611,0.0,0.039638291009817264,8.624050403004452e-08
0.0001220011663812685,0.05595639656,0.054,0.0,0.0,5.84936838538553e-05,0.860180756979121,0.0,0.0,0.0,0.06599991404569629,0.0,0.03963848604175226,8.595430385217283e-08
0.00012240667652471944,0.05595639656,0.054,0.0,0.0,5.830022631521819e-05,0.8601806601081984,0.0,0.0,0.0,0.06599991433000314,0.0,0.039638679783597745,8.566999700637103e-08
0.0001228121866681704,0.05595639656,0.054,0.0,0.0,5.81080442330998e-05,0.8601805638759413,0.0,0.0,0.0,0.06599991461243536,0.0,0.03963887224811211,8.538756476840473e-08
0.00012321769681162135,0.05595639656,0.054,0.0,0.0,5.7917125035268016e-05,0.8601804682760542,0.0,0.0,0.0,0.06599991489301148,0.0,0.03963906344788604,8.510698865725092e-08
0.0001236232069550723,0.05595639656,0.054,0.0,0.0,5.772745631418431e-05,0.8601803733023243,0.0,0.0,0.0,0.06599991517174972,0.0,0.03963925339534536,8.482825043404678e-08
0.00012402871709852326,0.05595639656,0.054,0.0,0.0,5.753902582431256e-05,0.8601802789486205,0.0,0.0,0.0,0.06599991544866805,0.0,0.039639442102753566,8.455133210135313e-08
0.00012443422724197422,0.05595639656,0.054,0.0,0.0,5.735182147948959e-05,0.8601801852088901,0.0,0.0,0.0,0.06599991572378427,0.0,0.03963962958221459,8.427621589308951e-08
0.00012483973738542517,0.05595639656,0.054,0.0,0.0,5.716583135033925e-05,0.8601800920771595,0.0,0.0,0.0,0.06599991599711587,0.0,0.03963981584567537,8.400288427250867e-08
0.00012524524752887612,0.05595639656,0.054,0.0,0.0,5.6981043661732726e-05,0.8601799995475329,0.0,0.0,0.0,0.06599991626868022,0.0,0.03964000090492833,8.373131993393264e-08
0.00012565075767232708,0.05595639656,0.054,0.0,0.0,5.679744679031015e-05,0.8601799076141903,0.0,0.0,0.0,0.06599991653849437,0.0,0.03964018477161388,8.346150579230971e-08
0.00012601571680143293,0.05595639656,0.054,0.0,0.0,5.6633218268386775e-05,0.8601798253792541,0.0,0.0,0.0,0.06599991677984464,0.0,0.03964034924148606,8.322015553715547e-08
0.00012638067593053877,0.05595639656,0.054,0.0,0.0,5.646993674980987e-05,0.8601797436185156,0.0,0.0,0.0,0.06599991701980304,0.0,0.039640512762963036,8.298019713165999e-08
