Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20)
1.1250974296316608e-10,0.08314471999999999,2.332333259102986e-06,1.2577182917394292e-05,8.572855737515615e-07,5.03262054762681e-09,7.228079970130119e-08,1.053845422841657e-11,9.156039481445738e-18,1.4299786631617938e-13,-1.8741457038183023e-29,-8.234664185422594e-32,1.2443365057455429e-11,0.054,0.0,0.0,0.058968398608923486,0.87999370868167,4.0853089540430943e-10,1.667818097336724e-25,7.688784978810752e-20,0.06599673808968574,3.525499490367055e-22,9.960045054717296e-07
1.1272343613113923e-10,0.08314471999999999,2.332332166729344e-06,1.2601054568880044e-05,8.585559925490815e-07,5.050305920877763e-09,7.26745132525022e-08,1.062276592233769e-11,9.248611889622117e-18,1.4411624057845415e-13,1.294802369139492e-29,3.025526557536938e-32,1.2513880035490143e-11,0.054,0.0,0.0,0.0589683710223249,0.8799936967354137,4.116353221216585e-10,1.6977872580057388e-25,7.781450563394721e-20,0.06599673642656036,3.5254990436091453e-22,9.9803857128712e-07
1.1293712929911238e-10,0.08314471999999999,2.3323310744076307e-06,1.2624926159552148e-05,8.598245407621916e-07,5.068011916875267e-09,7.306955382066465e-08,1.070759206705618e-11,9.341933051023416e-18,1.452409897607967e-13,1.5913498765081578e-29,-1.7687286749006692e-32,1.2584625614477381e-11,0.054,0.0,0.0,0.058968343435579884,0.8799936847891686,4.1475702356361747e-10,1.728237409836454e-25,7.875046189946074e-20,0.06599673476397795,3.5254991300442045e-22,1.0000733664747307e-06
1.1315082246708553e-10,0.08314471999999999,2.3323299821377375e-06,1.2648797689420651e-05,8.610912163520541e-07,5.085738466107476e-09,7.346592274002244e-08,1.0792934811785424e-11,9.436007483500581e-18,1.463721358423502e-13,1.5211680131051392e-29,1.6709308185158305e-32,1.2655601787165689e-11,0.054,0.0,0.0,0.05896831584868863,0.8799936728429348,4.1789605907176294e-10,1.759175349176258e-25,7.969579301768392e-20,0.06599673310193925,3.5254992231372474e-22,1.0021088916215266e-06
1.1357820880303183e-10,0.08314471999999999,2.3323277977529293e-06,1.2696540566787001e-05,8.636189415449791e-07,5.121252946006792e-09,7.426265094012677e-08,1.096517872110286e-11,9.626434321123245e-18,1.4865370669993877e-13,1.0672604349644192e-29,-4.3306711262699683e-38,1.2798245870973493e-11,0.054,0.0,0.0,0.058968260674468115,0.8799936489505013,4.2422636993324203e-10,1.822542191177731e-25,8.161487975276062e-20,0.0659967297794957,3.525498279954115e-22,1.0061821341203176e-06
1.1400559513897814e-10,0.08314471999999999,2.3323256135738912e-06,1.2744283201059305e-05,8.661391519704235e-07,5.15684880359995e-09,7.50647084101025e-08,1.1139514935849653e-11,9.819928897896118e-18,1.5096112930331077e-13,1.572560967544649e-29,5.480953693459864e-32,1.2941812174234644e-11,0.054,0.0,0.0,0.05896820549966477,0.8799936250581131,4.3062673055510256e-10,1.887943828874258e-25,8.357237016121895e-20,0.06599672645923535,3.5254968771255846e-22,1.0102583033983453e-06
1.1443298147492445e-10,0.08314471999999999,2.332323429599483e-06,1.279202559231762e-05,8.686518315937921e-07,5.192525481220969e-09,7.58721056138533e-08,1.1315960814973975e-11,1.0016527992123702e-17,1.532945800547467e-13,1.529127679430805e-29,-5.110897917716101e-32,1.3086300540533106e-11,0.054,0.0,0.0,0.05896815032428011,0.8799936011657703,4.370976176682013e-10,1.9554376753893884e-25,8.556887570727438e-20,0.06599672314116371,3.5254963942968833e-22,1.0143374040057708e-06
1.1486036781087076e-10,0.08314471999999999,2.332321245828459e-06,1.283976774064187e-05,8.711569645035347e-07,5.228282420527455e-09,7.668485292179125e-08,1.1494533790722092e-11,1.0216268665792011e-17,1.556542356020094e-13,1.528860862276276e-29,3.368668852859147e-32,1.3231710769715597e-11,0.054,0.0,0.0,0.058968095148315636,0.8799935772734729,4.436395088745461e-10,2.025082540038951e-25,8.760501505043548e-20,0.06599671982528632,3.5254966841481555e-22,1.018419440428055e-06
1.1528775414681707e-10,0.08314471999999999,2.3323190622594797e-06,1.2887509646111807e-05,8.736545349113512e-07,5.264119062514453e-09,7.750296061073144e-08,1.1675251368546178e-11,1.041918826540062e-17,1.5804027283362676e-13,1.5293013493742238e-29,-3.7158706312525566e-32,1.337804261789431e-11,0.054,0.0,0.0,0.05896803997177289,0.8799935533812208,4.502528826365568e-10,2.096938656768189e-25,8.968141409881545e-20,0.06599671651160871,3.5254969760601333e-22,1.0225044170859677e-06
1.1614252681870969e-10,0.08314471999999999,2.3323146957218535e-06,1.2982992728807033e-05,8.786269256854651e-07,5.336029215280838e-09,7.915529777027998e-08,1.2043190717689333e-11,1.0834715055979729e-17,1.628922010794243e-13,1.5301273315431586e-29,1.4827792046963981e-38,1.3673469977058557e-11,0.054,0.0,0.0,0.058967929616959056,0.8799935055968526,4.63695995914371e-10,2.24753288103322e-25,9.395753150900417e-20,0.06599670989087451,3.5254965586490365e-22,1.0306832084683014e-06
1.169972994906023e-10,0.08314471999999999,2.3323103299742266e-06,1.3078474841038238e-05,8.835688800823766e-07,5.4082514547575155e-09,8.08291974312053e-08,1.2419920366519367e-11,1.1263412857256958e-17,1.6785178453574838e-13,1.5289951322404002e-29,-1.3454670316460209e-31,1.3972579792510897e-11,0.054,0.0,0.0,0.05896781925985173,0.8799934578126659,4.774308019983012e-10,2.4077318254628e-25,9.840238221428029e-20,0.06599670327900453,3.5254943210660207e-22,1.0388738122252013e-06
1.1785207216249492e-10,0.08314471999999999,2.332305965003094e-06,1.3173955983437745e-05,8.884802762530394e-07,5.480781286471032e-09,8.252473842827219e-08,1.2805582984256693e-11,1.1705590766535947e-17,1.729204464953661e-13,1.5291557956777446e-29,1.749191162426109e-31,1.4275368539612138e-11,0.054,0.0,0.0,0.05896770890046461,0.8799934100286606,4.914611584581534e-10,2.5780716629790344e-25,1.0302123990997266e-19,0.06599669667604159,3.525492604701897e-22,1.0470762613943877e-06
1.1870684483438754e-10,0.08314471999999999,2.332301600793992e-06,1.3269436156635153e-05,8.933609943392067e-07,5.553614206682821e-09,8.424199808933279e-08,1.3200322401975242e-11,1.216156251008844e-17,1.7809961364854288e-13,1.529172699595091e-29,-1.52464278209183e-31,1.4581831995176937e-11,0.054,0.0,0.0,0.058967598538811984,0.8799933622448369,5.057909355879118e-10,2.7591142581532497e-25,1.0781949944148262e-19,0.06599669008202813,3.525492550277602e-22,1.0552905879792636e-06
