Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49)
0.00018910646301773,0.05595639656,0.054,0.0,0.0,3.7759290253183375e-05,0.8601703745471346,0.0,0.0,0.0,0.06599994451607442,0.0,0.03965925090569163,5.548392576385228e-08,9.897495109703029e-15
0.00018941440470756,0.05595639656,0.054,0.0,0.0,3.7697969180229007e-05,0.8601703438415423,0.0,0.0,0.0,0.06599994460618605,0.0,0.03965931231687623,5.5393814120219684e-08,9.897525761683137e-15
0.00018972234639739,0.05595639656,0.054,0.0,0.0,3.763684695734862e-05,0.8601703132355213,0.0,0.0,0.0,0.06599994469600547,0.0,0.039659373528918525,5.530399470673242e-08,9.897556314317562e-15
0.00019003028808721998,0.05595639656,0.054,0.0,0.0,3.757592261886341e-05,0.8601702827285875,0.0,0.0,0.0,0.0659999447855341,0.0,0.03965943454278561,5.521446610429994e-08,9.897586768084147e-15
0.00019033822977704997,0.05595639656,0.054,0.0,0.0,3.751519520533836e-05,0.8601702523202613,0.0,0.0,0.0,0.06599994487477329,0.0,0.03965949535943834,5.512522690227961e-08,9.897617123462035e-15
0.00019064617146687996,0.05595639656,0.054,0.0,0.0,3.745466376353015e-05,0.8601702220100648,0.0,0.0,0.0,0.0659999449637245,0.0,0.03965955597983135,5.503627569987441e-08,9.89764738092725e-15
0.00019095411315670996,0.05595639656,0.054,0.0,0.0,3.739432734633798e-05,0.860170191797524,0.0,0.0,0.0,0.06599994505238908,0.0,0.03965961640491314,5.4947611105204796e-08,9.897677540952779e-15
0.00019126205484653995,0.05595639656,0.054,0.0,0.0,3.733418501275433e-05,0.8601701616821674,0.0,0.0,0.0,0.06599994514076844,0.0,0.039659676635626084,5.4859231735195474e-08,9.897707604008537e-15
0.00019156999653636994,0.05595639656,0.054,0.0,0.0,3.727423582781581e-05,0.8601701316635272,0.0,0.0,0.0,0.06599994522886397,0.0,0.03965973667290655,5.4771136215761035e-08,9.897737570561457e-15
0.00019187793822619993,0.05595639656,0.054,0.0,0.0,3.721447886255476e-05,0.8601701017411381,0.0,0.0,0.0,0.065999945316677,0.0,0.03965979651768485,5.4683323181622784e-08,9.897767441075458e-15
0.00019218587991602992,0.05595639656,0.054,0.0,0.0,3.715491319395144e-05,0.8601700719145379,0.0,0.0,0.0,0.0659999454042089,0.0,0.039659856170885355,5.459579127621574e-08,9.897797216011475e-15
