Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12)
4.9400901364953054e-12,0.066515776,0.938,0.0,9.700730890188073e-09,0.0,2.0832221170658322e-16,6.450720310544701e-10,0.0,0.0,0.03936155589570925,0.009999995149634507,0.04999941890375535,0.0,0.0,0.0019999993549279704,0.0,5.810962445717996e-07
4.9730562259213266e-12,0.066515776,0.938,0.0,9.76546479182009e-09,0.0,2.1193700074458665e-16,6.493719160754183e-10,0.0,0.0,0.03936155403294152,0.009999995117267556,0.0499994171100214,0.0,0.0,0.0019999993506280853,0.0,5.828899785218386e-07
5.006022315347348e-12,0.066515776,0.938,0.0,9.830198687125005e-09,0.0,2.155869949507296e-16,6.536717377193016e-10,0.0,0.0,0.03936155218658232,0.009999995084900608,0.04999941533269592,0.0,0.0,0.0019999993463282635,0.0,5.84667303995908e-07
5.038988404773369e-12,0.066515776,0.938,0.0,9.894932576156516e-09,0.0,2.1927223904275854e-16,6.57971495988839e-10,0.0,0.0,0.039361550356481576,0.00999999505253366,0.049999413571628834,0.0,0.0,0.001999999342028505,0.0,5.86428371093123e-07
5.07195449419939e-12,0.066515776,0.938,0.0,9.959666458967832e-09,0.0,2.229927766607941e-16,6.622711908867336e-10,0.0,0.0,0.039361548542490535,0.009999995020166718,0.04999941182667138,0.0,0.0,0.00199999933772881,0.0,5.881733285395438e-07
5.104920583625411e-12,0.066515776,0.938,0.0,1.0024400335611678e-08,0.0,2.2674865038330444e-16,6.665708224156719e-10,0.0,0.0,0.039361546744461864,0.00999999498779978,0.04999941009767621,0.0,0.0,0.001999999333429179,0.0,5.89902323700735e-07
5.1378866730514324e-12,0.066515776,0.938,0.0,1.0089134206140304e-08,0.0,2.3053990174287745e-16,6.708703905783249e-10,0.0,0.0,0.039361544962249535,0.009999994955432844,0.04999940838449732,0.0,0.0,0.001999999329129611,0.0,5.916155025942121e-07
5.1708527624774536e-12,0.066515776,0.938,0.0,1.0153868070605466e-08,0.0,2.3436657124179183e-16,6.751698953773468e-10,0.0,0.0,0.03936154319570885,0.009999994923065912,0.04999940668699,0.0,0.0,0.001999999324830106,0.0,5.933130099017717e-07
5.203818851903475e-12,0.066515776,0.938,0.0,1.0218601929058457e-08,0.0,2.382286983673929e-16,6.794693368153767e-10,0.0,0.0,0.039361541444696474,0.00999999489069898,0.049999405005010926,0.0,0.0,0.0019999993205306646,0.0,5.949949889817117e-07
5.236784941329496e-12,0.066515776,0.938,0.0,1.0283335781550103e-08,0.0,2.42126321607271e-16,6.837687148950377e-10,0.0,0.0,0.03936153970907034,0.009999994858332053,0.04999940333841802,0.0,0.0,0.0019999993162312865,0.0,5.966615818809365e-07
5.269751030755517e-12,0.066515776,0.938,0.0,1.0348069628130762e-08,0.0,2.460594784642488e-16,6.880680296189373e-10,0.0,0.0,0.0393615379886897,0.00999999482596513,0.04999940168707056,0.0,0.0,0.0019999993119319717,0.0,5.983129293469554e-07
5.335683209607559e-12,0.066515776,0.938,0.0,1.047753730375824e-08,0.0,2.5403253820507224e-16,6.966664690098069e-10,0.0,0.0,0.03936153459310839,0.009999994761231288,0.04999939842955536,0.0,0.0,0.001999999303333532,0.0,6.015704445433671e-07
5.395022170574397e-12,0.066515776,0.938,0.0,1.0594058192103223e-08,0.0,2.613301735270415e-16,7.044048478107332e-10,0.0,0.0,0.03936153158783904,0.009999994702970843,0.049999395548545274,0.0,0.0,0.001999999295595154,0.0,6.044514546310824e-07
5.454361131541235e-12,0.066515776,0.938,0.0,1.0710579062058976e-08,0.0,2.687434775472035e-16,7.121430213788527e-10,0.0,0.0,0.03936152862983434,0.009999994644710403,0.049999392714799626,0.0,0.0,0.0019999992878569797,0.0,6.072852002759297e-07
5.513700092508073e-12,0.066515776,0.938,0.0,1.0827099913902948e-08,0.0,2.76272635281091e-16,7.198809897288309e-10,0.0,0.0,0.039361525718318906,0.009999994586449977,0.04999938992754301,0.0,0.0,0.001999999280119012,0.0,6.100724568747694e-07
5.573039053474911e-12,0.066515776,0.938,0.0,1.0943620747908028e-08,0.0,2.8391782253760967e-16,7.276187528751808e-10,0.0,0.0,0.03936152285253008,0.009999994528189558,0.049999387186012795,0.0,0.0,0.0019999992723812488,0.0,6.128139871035742e-07
5.632378014441749e-12,0.066515776,0.938,0.0,1.1060141564342633e-08,0.0,2.9167920617144226e-16,7.353563108322658e-10,0.0,0.0,0.03936152003171767,0.009999994469929148,0.04999938448945875,0.0,0.0,0.0019999992646436908,0.0,6.155105411261899e-07
5.691716975408587e-12,0.066515776,0.938,0.0,1.1176662363470776e-08,0.0,2.995569443295552e-16,7.430936636143032e-10,0.0,0.0,0.03936151725514385,0.009999994411668746,0.04999938183714308,0.0,0.0,0.001999999256906338,0.0,6.181628567996199e-07
5.751055936375425e-12,0.066515776,0.938,0.0,1.1293183145552151e-08,0.0,3.075511866920835e-16,7.508308112353649e-10,0.0,0.0,0.03936151452208283,0.009999994353408353,0.049999379228339996,0.0,0.0,0.00199999924916919,0.0,6.207716598759721e-07
5.810394897342263e-12,0.066515776,0.938,0.0,1.140970391084219e-08,0.0,3.1566207470756074e-16,7.585677537093805e-10,0.0,0.0,0.03936151183182079,0.009999994295147968,0.04999937666233566,0.0,0.0,0.0019999992414322476,0.0,6.23337664201037e-07
5.869733858309101e-12,0.066515776,0.938,0.0,1.1526224659592133e-08,0.0,3.238897418227109e-16,7.663044910501406e-10,0.0,0.0,0.03936150918365558,0.009999994236887593,0.049999374138427956,0.0,0.0,0.00199999923369551,0.0,6.258615719096081e-07
5.929072819275939e-12,0.066515776,0.938,0.0,1.1642745392049106e-08,0.0,3.3223431370691615e-16,7.740410232712972e-10,0.0,0.0,0.03936150657689661,0.009999994178627226,0.049999371655926245,0.0,0.0,0.001999999225958978,0.0,6.283440736176002e-07
5.988411780242777e-12,0.066515776,0.938,0.0,1.1759266108456181e-08,0.0,3.4069590847149245e-16,7.817773503863677e-10,0.0,0.0,0.03936150401086455,0.009999994120366864,0.04999936921415125,0.0,0.0,0.0019999992182226506,0.0,6.307858486110264e-07
6.047750741209615e-12,0.066515776,0.938,0.0,1.1875786809052451e-08,0.0,3.492746368838663e-16,7.89513472408736e-10,0.0,0.0,0.03936150148489131,0.009999994062106513,0.049999366812434824,0.0,0.0,0.0019999992104865285,0.0,6.33187565031877e-07
6.1070897021764526e-12,0.066515776,0.938,0.0,1.1992307494073072e-08,0.0,3.5797060257675135e-16,7.972493893516552e-10,0.0,0.0,0.03936149899831967,0.009999994003846166,0.04999936445011979,0.0,0.0,0.0019999992027506116,0.0,6.355498800609436e-07
6.1664286631432905e-12,0.066515776,0.938,0.0,1.2108828163749371e-08,0.0,3.6678390225243243e-16,8.049851012282496e-10,0.0,0.0,0.039361496550503236,0.009999993945585829,0.049999362126559754,0.0,0.0,0.0019999991950148998,0.0,6.378734400976419e-07
6.2257676241101284e-12,0.066515776,0.938,0.0,1.2225348818308863e-08,0.0,3.757146258822672e-16,8.127206080515165e-10,0.0,0.0,0.039361494140806225,0.009999993887325498,0.04999935984111891,0.0,0.0,0.001999999187279393,0.0,6.401588809368824e-07
6.285106585076966e-12,0.066515776,0.938,0.0,1.2341869457975337e-08,0.0,3.847628569015091e-16,8.20455909834329e-10,0.0,0.0,0.03936149176860326,0.009999993829065178,0.049999357593171895,0.0,0.0,0.0019999991795440915,0.0,6.424068279430434e-07
6.344445546043804e-12,0.066515776,0.938,0.0,1.2458390082968917e-08,0.0,3.93928672399552e-16,8.281910065894377e-10,0.0,0.0,0.03936148943327925,0.009999993770804863,0.049999355382103615,0.0,0.0,0.0019999991718089942,0.0,6.446178962210897e-07
6.403784507010642e-12,0.066515776,0.938,0.0,1.2574910693506116e-08,0.0,4.0321214330569106e-16,8.359258983294724e-10,0.0,0.0,0.03936148713422918,0.009999993712544555,0.049999353207309055,0.0,0.0,0.0019999991640741025,0.0,6.467926907848833e-07
6.46312346797748e-12,0.066515776,0.938,0.0,1.2691431289799896e-08,0.0,4.1261333457049527e-16,8.43660585066944e-10,0.0,0.0,0.03936148487085795,0.009999993654284254,0.04999935106819311,0.0,0.0,0.001999999156339416,0.0,6.489318067227347e-07
6.522462428944318e-12,0.066515776,0.938,0.0,1.280795187205973e-08,0.0,4.2213230534288667e-16,8.513950668142478e-10,0.0,0.0,0.03936148264258023,0.00999999359602396,0.04999934896417047,0.0,0.0,0.0019999991486049345,0.0,6.510358293602336e-07
6.581801389911156e-12,0.066515776,0.938,0.0,1.292447244049166e-08,0.0,4.3176910914301876e-16,8.591293435836631e-10,0.0,0.0,0.03936148044882033,0.009999993537763673,0.04999934689466541,0.0,0.0,0.0019999991408706573,0.0,6.531053344204132e-07
6.641140350877994e-12,0.066515776,0.938,0.0,1.3040992995298334e-08,0.0,4.41523794031044e-16,8.668634153873573e-10,0.0,0.0,0.03936147828901193,0.009999993479503392,0.04999934485911164,0.0,0.0,0.0019999991331365857,0.0,6.551408881812833e-07
6.700479311844832e-12,0.066515776,0.938,0.0,1.3157513536679097e-08,0.0,4.513964027718589e-16,8.745972822373864e-10,0.0,0.0,0.03936147616259806,0.009999993421243119,0.04999934285695218,0.0,0.0,0.001999999125402719,0.0,6.571430476307826e-07
6.75981827281167e-12,0.066515776,0.938,0.0,1.327403406483002e-08,0.0,4.61386972995913e-16,8.82330944145697e-10,0.0,0.0,0.039361474069030886,0.009999993362982853,0.049999340887639195,0.0,0.0,0.001999999117669057,0.0,6.59112360619185e-07
6.819157233778508e-12,0.066515776,0.938,0.0,1.3390554579943958e-08,0.0,4.714955373561677e-16,8.90064401124129e-10,0.0,0.0,0.0393614720077715,0.009999993304722593,0.0499993389506338,0.0,0.0,0.0019999991099356003,0.0,6.61049366009009e-07
6.878496194745346e-12,0.066515776,0.938,0.0,1.35070750822106e-08,0.0,4.81722123681284e-16,8.977976531844161e-10,0.0,0.0,0.039361469978289924,0.00999999324646234,0.049999337045405975,0.0,0.0,0.001999999102202348,0.0,6.629545938224653e-07
6.937835155712184e-12,0.066515776,0.938,0.0,1.3623595571816529e-08,0.0,4.920667551251281e-16,9.055307003381881e-10,0.0,0.0,0.039361467980064825,0.009999993188202091,0.049999335171434414,0.0,0.0,0.001999999094469301,0.0,6.648285653864869e-07
6.9971741166790216e-12,0.066515776,0.938,0.0,1.3740116048945274e-08,0.0,5.025294503126641e-16,9.132635425969731e-10,0.0,0.0,0.0393614660125834,0.009999993129941851,0.049999333328206316,0.0,0.0,0.001999999086736458,0.0,6.666717934753795e-07
7.0565130776458595e-12,0.066515776,0.938,0.0,1.3856636513777353e-08,0.0,5.131102234823247e-16,9.209961799721981e-10,0.0,0.0,0.0393614640753413,0.009999993071681618,0.04999933151521734,0.0,0.0,0.001999999079003821,0.0,6.684847824511315e-07
7.1158520386126975e-12,0.066515776,0.938,0.0,1.3973156966490309e-08,0.0,5.238090846249231e-16,9.287286124751913e-10,0.0,0.0,0.03936146216784246,0.009999993013421388,0.04999932973197138,0.0,0.0,0.0019999990712713882,0.0,6.702680284014221e-07
7.175190999579535e-12,0.066515776,0.938,0.0,1.4089677407258798e-08,0.0,5.346260396191919e-16,9.364608401171845e-10,0.0,0.0,0.0393614602895989,0.009999992955161165,0.049999327977980505,0.0,0.0,0.001999999063539161,0.0,6.720220192753655e-07
7.234529960546373e-12,0.066515776,0.938,0.0,1.4206197836254603e-08,0.0,5.455610903640161e-16,9.441928629093122e-10,0.0,0.0,0.0393614584401307,0.009999992896900947,0.049999326252764764,0.0,0.0,0.001999999055807138,0.0,6.737472350170284e-07
7.293868921513212e-12,0.066515776,0.938,0.0,1.4322718253646684e-08,0.0,5.566142349074348e-16,9.519246808626165e-10,0.0,0.0,0.039361456618965784,0.009999992838640734,0.049999324555852084,0.0,0.0,0.00199999904807532,0.0,6.754441476967565e-07
7.35320788248005e-12,0.066515776,0.938,0.0,1.4439238659601243e-08,0.0,5.677854675724811e-16,9.596562939880458e-10,0.0,0.0,0.0393614548256398,0.00999999278038053,0.04999932288677812,0.0,0.0,0.0019999990403437072,0.0,6.771132216403465e-07
