Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),H2O_X(16),He,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
3.343867177628653e-07,0.041572359999999996,0.0004242552912541263,0.009171787027415413,2.8699345326856756e-18,2.182876175008994e-12,3.133465494623201e-12,2.2991954782199935e-12,5.340033922407819e-20,1.29607514235912e-19,4.1041329888060475e-14,0.054,0.0,0.005150267361604836,0.8754141064824567,5.449780939232422e-12,1.853519905669118e-29,9.194926804016294e-30,0.06557574470331314,4.4070008594489245e-37
3.355223085893058e-07,0.041572359999999996,0.0004233579973654048,0.00918347964416188,2.8638624117981937e-18,2.1831461684542616e-12,3.1365671119489517e-12,2.3163534118746517e-12,5.410774670462876e-20,1.3005435520002208e-19,4.105204247313555e-14,0.054,0.0,0.005139472038726551,0.875408260174069,5.478473746204364e-12,1.8899814824531386e-29,9.338933644844585e-30,0.06557664199718159,4.51854752835035e-37
3.3665789941574627e-07,0.041572359999999996,0.00042246449495064747,0.009195123268833734,2.857815934136151e-18,2.183406775368415e-12,3.13961292496877e-12,2.33355000306107e-12,5.482132535444174e-20,1.3056141847560753e-19,4.106240032287268e-14,0.054,0.0,0.005128721916448942,0.8754024383617185,5.5071737832511226e-12,1.926987861960707e-29,9.484584899910717e-30,0.0655775354995761,4.6324097975679915e-37
3.376799311595427e-07,0.041572359999999996,0.0004216635646491716,0.009205560896975613,2.85239589475967e-18,2.1836333503316e-12,3.142306707702109e-12,2.349059694698729e-12,5.546884018995276e-20,1.3119099190515126e-19,4.107142104024661e-14,0.054,0.0,0.0051190852185901,0.8753972195476346,5.533009794132742e-12,1.9607637685604577e-29,9.617086259641825e-30,0.06557833642985937,4.736896148500922e-37
3.387019629033391e-07,0.041572359999999996,0.0004208656686464015,0.009215959312956636,2.846996376909408e-18,2.1838524227634466e-12,3.144955780410421e-12,2.3646001547098395e-12,5.612138653285027e-20,1.3164423483699358e-19,4.10801580437602e-14,0.054,0.0,0.005109484698593429,0.875392020339631,5.5588512823705345e-12,1.9949890929436218e-29,9.750936839431711e-30,0.06557913432584397,4.8433151529352295e-37
3.397239946471355e-07,0.041572359999999996,0.0004200707897194186,0.009226318737459374,2.8416172646085026e-18,2.1840640397169513e-12,3.1475603755244052e-12,2.3801711262430188e-12,5.677897981123845e-20,1.3214771535134868e-19,4.108861303242135e-14,0.054,0.0,0.005099920152999278,0.8753868406273665,5.5846980701191605e-12,2.0296677010864931e-29,9.886144820906436e-30,0.06557992920475277,4.951694219245343e-37
3.406438232165523e-07,0.041572359999999996,0.0004193579641551055,0.009235609062859324,2.836793414253188e-18,2.1842481591389546e-12,3.14986667500223e-12,2.3942108761809072e-12,5.737514157645422e-20,1.3268058680936331e-19,4.1095982795433404e-14,0.054,0.0,0.005091342653147104,0.8753821954646548,5.607964564044989e-12,2.0612692093770828e-29,1.0008999351102911e-29,0.06558064203030074,5.05093409186247e-37
3.415636517859691e-07,0.041572359999999996,0.0004186475562041343,0.009244868141133488,2.8319859142504513e-18,2.1844263112399888e-12,3.1521373058279466e-12,2.408274946524597e-12,5.797541490748893e-20,1.330038470270118e-19,4.11031267184208e-14,0.054,0.0,0.005082793982807387,0.8753775659255059,5.631235079232636e-12,2.0932438495024222e-29,1.0132965985442216e-29,0.06558135243823537,5.1518043666446205e-37
3.4248348035538586e-07,0.041572359999999996,0.0004179395535791198,0.009254096129753284,2.827194682541093e-18,2.1845985295824778e-12,3.1543724371151314e-12,2.4223631513210906e-12,5.857981088197752e-20,1.3348640832249063e-19,4.1110046018875945e-14,0.054,0.0,0.005074273996796105,0.8753729519311844,5.654509488236369e-12,2.125594460408309e-29,1.0258050704266579e-29,0.06558206044084405,5.254325559670985e-37
3.4331132606786096e-07,0.041572359999999996,0.00041730439768180834,0.009262374867155025,2.822896414384829e-18,2.184748480284457e-12,3.1563538432178332e-12,2.4350630172421647e-12,5.912730124205384e-20,1.3403691219748762e-19,4.111608233808734e-14,0.054,0.0,0.0050666304152768415,0.8753688125624729,5.675459680773077e-12,2.1550338167417882e-29,1.0371587860056018e-29,0.06558269559672668,5.348023262095278e-37
