Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52),N2X2(77)
2.8160254506890134e-11,0.08314471999999999,2.317951848264004e-06,3.149652275294311e-06,2.3789501990513815e-07,3.0144421744123064e-10,1.2280649117424265e-09,3.43547902953346e-14,2.4456469161222384e-20,3.466878366485409e-16,5.4053806203908636e-27,-6.1254217911347365e-25,1.32094840810774e-13,0.054,0.0,0.0,0.05897929167608535,0.879998425022392,1.3630139172873772e-12,-8.737828728951942e-24,4.633485645543952e-23,0.06599744292503215,-1.9407154281786585e-22,2.400468190516133e-07,4.2426058370245777e-20,-4.686909614570757e-24
2.823940806197736e-11,0.08314471999999999,2.3181606735541955e-06,3.158503702160494e-06,2.3855455300848084e-07,3.0328604562191673e-10,1.238336476641132e-09,3.474834745305123e-14,2.4884748778054848e-20,3.511469075004527e-16,1.968314492966791e-26,-5.130795868449506e-25,1.3339916255281977e-13,0.054,0.0,0.0,0.05897928126598465,0.879998420595749,1.3793458669910822e-12,-8.876907846025148e-24,4.7278496163050384e-23,0.06599744204640179,-1.9458843728656801e-22,2.4072501937362284e-07,4.313544917581417e-20,-4.5299566853486764e-24
2.8318561617064583e-11,0.08314471999999999,2.3183665445089303e-06,3.1673551201332834e-06,2.392140077793795e-07,3.0513344449392987e-10,1.2486649082801195e-09,3.5145321900511876e-14,2.5319293358140824e-20,3.556499056720349e-16,-1.8975478482892987e-26,9.45517651027698e-25,1.3471229149505852e-13,0.054,0.0,0.0,0.058979270858833574,0.8799984161691073,1.3958245694723722e-12,-9.011849450138817e-24,4.823861781449951e-23,0.06599744117074721,-1.9602655708985375e-22,2.414032492251976e-07,4.38547112207568e-20,-4.4633511023631035e-24
2.8397715172151807e-11,0.08314471999999999,2.3185695028408685e-06,3.176206529213324e-06,2.398733840037769e-07,3.069864128791416e-10,1.259050360223927e-09,3.554573397941581e-14,2.5760176605603758e-20,3.6019712927562767e-16,-1.5471795207863303e-26,-1.8301499541124606e-25,1.360342595002429e-13,0.054,0.0,0.0,0.058979260454590315,0.8799984117424673,1.4124509025811347e-12,-9.148912718159559e-24,4.9215461775513005e-23,0.06599744029802682,-1.9472708787130377e-22,2.420815086988292e-07,4.4583954485561417e-20,-4.3878451552362704e-24
2.8476868727239032e-11,0.08314471999999999,2.318769589673711e-06,3.185057929400824e-06,2.4053268146768584e-07,3.088449495961178e-10,1.2694929859996233e-09,3.594960409840387e-14,2.6207472881485382e-20,3.6478887749571965e-16,4.9003671238261644e-26,-1.1913064914430653e-24,1.3736509844416813e-13,0.054,0.0,0.0,0.058979250053213736,0.8799984073158288,1.4292257467633525e-12,-9.285511710421227e-24,5.0209271228789525e-23,0.06599743942819948,-1.936048003582297e-22,2.427597978870038e-07,4.532328987543719e-20,-4.207464635219146e-24
2.8556022282326256e-11,0.08314471999999999,2.3189668455505223e-06,3.193909320694139e-06,2.411918999571894e-07,3.1070905346010685e-10,1.2799929390966939e-09,3.635695273311076e-14,2.6661257208628186e-20,3.694254505889305e-16,-1.8260362944336218e-26,1.384385924947935e-24,1.3870484021555352e-13,0.054,0.0,0.0,0.05897923965466328,0.8799984028891921,1.4461499850606852e-12,-9.418138100247272e-24,5.122029219900293e-23,0.06599743856122474,-1.9611181881440482e-22,2.4343811688219996e-07,4.6072829225613035e-20,-4.075368761636822e-24
2.863517583741348e-11,0.08314471999999999,2.3191613104419363e-06,3.202760703095382e-06,2.418510392584404e-07,3.1257872328305835e-10,1.2905503729669542e-09,3.676780042621745e-14,2.7121605277330577e-20,3.7410714988400954e-16,-7.247292473664005e-26,4.267208230409407e-25,1.400535167159241e-13,0.054,0.0,0.0,0.05897922925889892,0.8799983984625568,1.4632245031100507e-12,-9.543153394666004e-24,5.224877357795363e-23,0.0659974376970627,-1.9524282765829891e-22,2.441164657768896e-07,4.6832685306648344e-20,-3.973998319424529e-24
2.8714329392500705e-11,0.08314471999999999,2.3193530237542474e-06,3.2116120766080986e-06,2.425100991576612e-07,3.1445395787362894e-10,1.3011654410244513e-09,3.7182167787503566e-14,2.758859344662519e-20,3.7883427778182746e-16,9.903325194229788e-26,-2.322659658956084e-24,1.414111598594913e-13,0.054,0.0,0.0,0.058979218865881235,0.8799983940359231,1.4804501891432035e-12,-9.663002219394616e-24,5.329496714987149e-23,0.065997436835674,-1.9269509036733581e-22,2.447948446635367e-07,4.760297182976607e-20,-3.775503459390198e-24
2.879348294758793e-11,0.08314471999999999,2.3195420243373702e-06,3.220463441231316e-06,2.43169079441144e-07,3.163347560371961e-10,1.3118382966453746e-09,3.7600075493899424e-14,2.8062298748690806e-20,3.8360713775536193e-16,4.085359300862355e-26,1.56694345424689e-24,1.4277780157303405e-13,0.054,0.0,0.0,0.05897920847557133,0.8799983896092911,1.497827933986315e-12,-9.779224358861786e-24,5.435912761690172e-23,0.06599743597701986,-1.964456701888114e-22,2.4547325363459717e-07,4.838380345221293e-20,-3.675752213252604e-24
2.8872636502675153e-11,0.08314471999999999,2.319728350492703e-06,3.2293147969656273e-06,2.438279798952496e-07,3.1822111657585363e-10,1.3225690931679491e-09,3.802154428953801e-14,2.8542798896485944e-20,3.8842603434967166e-16,-2.1296357041448236e-25,1.6290841361559498e-24,1.4415347379577922e-13,0.054,0.0,0.0,0.058979198087930874,0.8799983851826606,1.5153586310595466e-12,-9.89327435168332e-24,5.544151262471024e-23,0.06599743512106201,-1.963202209596412e-22,2.461516927825187e-07,4.917529578261243e-20,-3.692762706051951e-24
