Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),HX(20),NOX2(52)
4.314263734340004e-08,0.08314471999999999,2.1557565113057506e-06,0.0038211501056125627,1.2617777048724107e-08,6.794633288191473e-07,1.3363292840055401e-05,0.00013577776907995162,7.282089315060542e-05,1.107830198665411e-08,1.19591715698459e-16,4.0443333009300323e-35,4.380399393853544e-08,0.054,0.0,0.0,0.05477431382401379,0.8777651828977018,0.000474475527339067,4.0801865665391374e-08,2.0221757191381984e-05,0.0656753206905244,2.965211189069474e-09,4.452926203496216e-06,8.022861046984376e-05
4.320281678143257e-08,0.08314471999999999,2.1555333949374967e-06,0.003825899561115171,1.259842991855358e-08,6.797145031238417e-07,1.3342744567712217e-05,0.00013586498566380627,7.297896243646899e-05,1.1076076248814314e-08,1.2015655653005555e-16,4.073185626592226e-35,4.38395126203623e-08,0.054,0.0,0.0,0.054769011147160485,0.8777622878163579,0.000475144848007966,4.094094039987483e-08,2.0268429456765353e-05,0.06567488287240429,2.979510419628653e-09,4.448675555778309e-06,8.039495666849116e-05
4.32629962194651e-08,0.08314471999999999,2.1553103281115688e-06,0.003830647987771061,1.2579138316665693e-08,6.799652757594664e-07,1.3322259352665128e-05,0.00013595201240929394,7.313706060086909e-05,1.1073856953523972e-08,1.2072290770186863e-16,4.0722315230583224e-35,4.3874993851079795e-08,0.054,0.0,0.0,0.054763709589140515,0.8777593933050438,0.0004758140121190939,4.1080193608447456e-08,2.0315118850783803e-05,0.06567444513477924,2.993849846819633e-09,4.444433691588007e-06,8.056130259712869e-05
4.332317565749763e-08,0.08314471999999999,2.155087310813002e-06,0.0038353953860392445,1.2559902003021596e-08,6.802156473585546e-07,1.3301836884457238e-05,0.0001360388499037921,7.329518752724418e-05,1.1071644054355685e-08,1.212907697998751e-16,4.0941968825579497e-35,4.391043765358846e-08,0.054,0.0,0.0,0.05475840914962029,0.8777564993635815,0.0004764830198443471,4.121962501688662e-08,2.0361825342002933e-05,0.06567400747764852,3.0082294960224192e-09,4.44020057964112e-06,8.072764812835043e-05
4.338335509553016e-08,0.08314471999999999,2.1548643430268105e-06,0.003840141756378936,1.254072073899462e-08,6.804656185539019e-07,1.3281476854828446e-05,0.00013612549873195446,7.345334309929057e-05,1.1069437505323184e-08,1.2186014340662709e-16,4.10302018759136e-35,4.394584405099608e-08,0.054,0.0,0.0,0.054753109828265374,0.8777536059917931,0.00047715187135462456,4.135923435142671e-08,2.0408548899047195e-05,0.0656735699010113,3.0226493925372298e-09,4.4359761888212814e-06,8.089399313508249e-05
4.344353453356269e-08,0.08314471999999999,2.1546414247379694e-06,0.0038448870992495417,1.2521594287359981e-08,6.807151899785188e-07,1.3261178957695234e-05,0.00013621195947572949,7.361152720096285e-05,1.1067237260876533e-08,1.2243102910126128e-16,4.121613922419058e-35,4.398121306661842e-08,0.054,0.0,0.0,0.054747811624740635,0.8777507131895007,0.0004778205668198372,4.149902133875835e-08,2.0455289490600057e-05,0.06567313240486661,3.0371095615846896e-09,4.431760488178765e-06,8.106033749058352e-05
4.350371397159522e-08,0.08314471999999999,2.15441855593142e-06,0.0038496314151106503,1.2502522412282737e-08,6.809643622656359e-07,1.324094288913053e-05,0.00013629823271437918,7.376973971647418e-05,1.1065043275898922e-08,1.230034274595084e-16,4.130700464272499e-35,4.401654472396995e-08,0.054,0.0,0.0,0.054742514538710194,0.8777478209565261,0.000478489106408917,4.163898570602736e-08,2.0502047085404163e-05,0.06567269498921334,3.051610028306022e-09,4.42755344692924e-06,8.12266810684448e-05
4.356389340962775e-08,0.08314471999999999,2.154195736592072e-06,0.0038543747044220175,1.2483504879308011e-08,6.812131360486785e-07,1.3220768347343713e-05,0.00013638431902449698,7.392798053029663e-05,1.1062855505701582e-08,1.2357733905370274e-16,4.148402388804895e-35,4.4051839046760846e-08,0.054,0.0,0.0,0.05473721856983739,0.877744929292692,0.000479157490289827,4.177912718083407e-08,2.054882165226149e-05,0.06567225765405028,3.0661508177632413e-09,4.423355034452567e-06,8.139302374259047e-05
4.362407284766028e-08,0.08314471999999999,2.1539729667048072e-06,0.003859116967643567,1.2464541455350495e-08,6.814615119612406e-07,1.3200655032660915e-05,0.0001364702189800262,7.408624952716164e-05,1.1060673906018597e-08,1.2415276445279105e-16,4.158735537438285e-35,4.4087096058897795e-08,0.054,0.0,0.0,0.05473192371778491,0.8777420381978205,0.0004798257186295695,4.1919445491232303e-08,2.05956131600335e-05,0.06567182039937615,3.0807319549393438e-09,4.419165220291603e-06,8.15593653872779e-05
4.374443172372534e-08,0.08314471999999999,2.153527575225887e-06,0.0038685984176576277,1.242677600893254e-08,6.819570727100325e-07,1.3160610896379679e-05,0.0001366414621099473,7.440287161024364e-05,1.1056329043221723e-08,1.2530815892455697e-16,4.188024043778823e-35,4.415749824779744e-08,0.054,0.0,0.0,0.05472133736278797,0.8777362577142546,0.00048116170934881495,4.220061153328101e-08,2.068924687406562e-05,0.06567094613148855,3.110015371986241e-09,4.410811265896047e-06,8.189204508697423e-05
4.38647905997904e-08,0.08314471999999999,2.153082381373086e-06,0.003878075768835043,1.238922423534978e-08,6.824510495833971e-07,1.3120808124496421e-05,0.00013681196664335957,7.471960504877074e-05,1.1052008341674572e-08,1.2646961535899022e-16,4.213559600464538e-35,4.422775148572813e-08,0.054,0.0,0.0,0.054710755471006726,0.8777304795044086,0.00048249707988381,4.2482481665641583e-08,2.078294797958737e-05,0.06567007218553754,3.1394604777375778e-09,4.4024913433002565e-06,8.222471916826349e-05
4.398514947585546e-08,0.08314471999999999,2.1526373850243593e-06,0.0038875490248599792,1.2351884318187675e-08,6.829434476541438e-07,1.3081244393863142e-05,0.000136981737078204,7.503644892996367e-05,1.1047711462029324e-08,1.2763713818667333e-16,4.246016377539208e-35,4.4297855970695464e-08,0.054,0.0,0.0,0.05470017803971778,0.877724703566863,0.0004838318315369166,4.276505372898304e-08,2.0876716229646658e-05,0.06566919856150812,3.1690674692321334e-09,4.394205214594702e-06,8.255738663721857e-05
