Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9)
1.8627981836525579e-13,0.066515776,0.938,0.0,3.658046093925701e-10,0.0,1.5046048783849956e-13,2.4350219079557012e-11,0.0,0.0,0.039362107619604986,0.009999999817100291,0.049999960672158575,0.0,0.0,0.0019999999756497816,0.0,3.932768579637473e-08,1.6084982657210324e-13
1.9975150836341145e-13,0.066515776,0.938,0.0,3.922598327551388e-10,0.0,1.6094858568023393e-13,2.611113890720785e-11,0.0,0.0,0.03936210482560559,0.009999999803873066,0.04999995790638658,0.0,0.0,0.001999999973888862,0.0,4.209344653009187e-08,1.72875550643127e-13
2.132231983615671e-13,0.066515776,0.938,0.0,4.187151039912979e-10,0.0,1.7138502451644427e-13,2.787204803758345e-11,0.0,0.0,0.03936210204197328,0.009999999790645841,0.0499999551509817,0.0,0.0,0.0019999999721279525,0.0,4.48488401466443e-08,1.8495293008526019e-13
2.2669488835972276e-13,0.066515776,0.938,0.0,4.451704228604937e-10,0.0,1.8177005883515348e-13,2.9632946471210997e-11,0.0,0.0,0.039362099268669196,0.009999999777418618,0.04999995240590509,0.0,0.0,0.001999999970367054,0.0,4.759390550589735e-08,1.9708171046069405e-13
2.5363826835603406e-13,0.066515776,0.938,0.0,4.980812025417814e-10,0.0,2.023869256096596e-13,3.3154711250321974e-11,0.0,0.0,0.03936209375289096,0.009999999750964177,0.049999946946581914,0.0,0.0,0.0019999999668452893,0.0,5.305320616420787e-08,2.2149246252156403e-13
2.805816483523454e-13,0.066515776,0.938,0.0,5.50992169898494e-10,0.0,2.2280119694430556e-13,3.667643324872358e-11,0.0,0.0,0.03936208827796293,0.009999999724509743,0.04999994152810908,0.0,0.0,0.0019999999633235673,0.0,5.847165648054488e-08,2.4610579628224875e-13
3.075250283486567e-13,0.066515776,0.938,0.0,6.039033230490613e-10,0.0,2.430148640148211e-13,4.019811247057109e-11,0.0,0.0,0.03936208284357942,0.009999999698055316,0.049999936150180925,0.0,0.0,0.0019999999598018883,0.0,6.384956212595537e-08,2.7091972096039427e-13
3.34468408344968e-13,0.066515776,0.938,0.0,6.568146601306637e-10,0.0,2.630298984261905e-13,4.37197489199925e-11,0.0,0.0,0.03936207744943706,0.009999999671600895,0.049999930812494056,0.0,0.0,0.001999999956280252,0.0,6.918722648423953e-08,2.959322653407299e-13
3.6141178834127933e-13,0.066515776,0.938,0.0,7.097261792990451e-10,0.0,2.8284825240491005e-13,4.7241342601088714e-11,0.0,0.0,0.039362072095234735,0.009999999645146486,0.04999992551474737,0.0,0.0,0.001999999952758658,0.0,7.448495066905764e-08,3.2114147758283913e-13
3.8835516833759065e-13,0.066515776,0.938,0.0,7.626378787283299e-10,0.0,3.024718589895128e-13,5.0762893517933735e-11,0.0,0.0,0.03936206678067359,0.009999999618692081,0.049999920256641975,0.0,0.0,0.0019999999492371075,0.0,7.974303354092177e-08,3.465454250306617e-13
4.1529854833390197e-13,0.066515776,0.938,0.0,8.155497566108388e-10,0.0,3.219026322192485e-13,5.428440167457488e-11,0.0,0.0,0.039362061505456986,0.009999999592237683,0.04999991503788127,0.0,0.0,0.001999999945715599,0.0,8.496177172406136e-08,3.721421940238413e-13
4.422419283302133e-13,0.066515776,0.938,0.0,8.68461811156909e-10,0.0,3.411424673208391e-13,5.780586707503296e-11,0.0,0.0,0.03936205626929054,0.009999999565783292,0.04999990985817086,0.0,0.0,0.0019999999421941336,0.0,9.014145962315732e-08,3.9792988971099697e-13
4.691853083265246e-13,0.066515776,0.938,0.0,9.213740405947155e-10,0.0,3.601932408933541e-13,6.132728972330251e-11,0.0,0.0,0.03936205107188205,0.009999999539328909,0.04999990471721854,0.0,0.0,0.0019999999386727113,0.0,9.528238943994715e-08,4.239066358648754e-13
4.961286883228359e-13,0.066515776,0.938,0.0,9.742864431700924e-10,0.0,3.7905681109128555e-13,6.4848669623352e-11,0.0,0.0,0.039362045912941485,0.009999999512874532,0.049999899614734264,0.0,0.0,0.001999999935151331,0.0,1.0038485118970761e-07,4.500705746993025e-13
5.230720683191471e-13,0.066515776,0.938,0.0,1.0271990171463602e-09,0.0,3.977350178058506e-13,6.837000677912394e-11,0.0,0.0,0.03936204079218102,0.009999999486420162,0.04999989455043023,0.0,0.0,0.001999999931629994,0.0,1.0544913271761631e-07,4.764198666879073e-13
5.500154483154584e-13,0.066515776,0.938,0.0,1.0801117608041489e-09,0.0,4.1622968284451715e-13,7.189130119453511e-11,0.0,0.0,0.03936203570931495,0.009999999459965799,0.04999988952402073,0.0,0.0,0.0019999999281086994,0.0,1.1047551971499094e-07,5.029526903846247e-13
5.769588283117697e-13,0.066515776,0.938,0.0,1.1330246724412284e-09,0.0,4.345426101087501e-13,7.541255287347692e-11,0.0,0.0,0.03936203066405974,0.009999999433511443,0.04999988453522219,0.0,0.0,0.001999999924587448,0.0,1.1546429573540601e-07,5.296672422459737e-13
6.039022083080809e-13,0.066515776,0.938,0.0,1.185937750372338e-09,0.0,4.5267558577000544e-13,7.893376181981529e-11,0.0,0.0,0.03936202565613395,0.009999999407057094,0.0499998795837532,0.0,0.0,0.0019999999210662386,0.0,1.204157422106883e-07,5.565617364550915e-13
6.308455883043922e-13,0.066515776,0.938,0.0,1.238850992929015e-09,0.0,4.706303784439957e-13,8.245492803739107e-11,0.0,0.0,0.039362020685258264,0.009999999380602751,0.04999987466933442,0.0,0.0,0.0019999999175450726,0.0,1.2533013846679318e-07,5.836344047474937e-13
6.577889683007035e-13,0.066515776,0.938,0.0,1.2917643984594332e-09,0.0,4.88408739363249e-13,8.59760515300202e-11,0.0,0.0,0.03936201575115543,0.009999999354148416,0.04999986979168864,0.0,0.0,0.0019999999140239487,0.0,1.3020776173956234e-07,6.108834962385419e-13
6.847323482970147e-13,0.066515776,0.938,0.0,1.3446779653282328e-09,0.0,5.060124025479721e-13,8.949713230149383e-11,0.0,0.0,0.0393620108535503,0.009999999327694088,0.04999986495054067,0.0,0.0,0.001999999910502868,0.0,1.3504888719036366e-07,6.383072772526065e-13
7.11675728293326e-13,0.066515776,0.938,0.0,1.3975916919163583e-09,0.0,5.234430849752301e-13,9.301817035557852e-11,0.0,0.0,0.039362005992169775,0.009999999301239767,0.049999860145617435,0.0,0.0,0.0019999999069818305,0.0,1.3985378792161396e-07,6.659040311539134e-13
7.386191082896373e-13,0.066515776,0.938,0.0,1.4505055766208975e-09,0.0,5.407024867464645e-13,9.653916569601644e-11,0.0,0.0,0.03936200116674281,0.009999999274785452,0.049999855376647855,0.0,0.0,0.0019999999034608345,0.0,1.4462273499218533e-07,6.936720581790508e-13
7.655624882859486e-13,0.066515776,0.938,0.0,1.5034196178549196e-09,0.0,5.57792291253364e-13,1.0006011832652557e-10,0.0,0.0,0.03936199637700036,0.009999999248331145,0.049999850643362896,0.0,0.0,0.0019999998999398823,0.0,1.493559974326962e-07,7.21609675271127e-13
7.925058682822598e-13,0.066515776,0.938,0.0,1.5563338140473176e-09,0.0,5.747141653421041e-13,1.0358102825079987e-10,0.0,0.0,0.03936199162267538,0.00999999922187684,0.04999984594549556,0.0,0.0,0.001999999896418972,0.0,1.5405384226068876e-07,7.497152159155526e-13
8.194492482785711e-13,0.066515776,0.938,0.0,1.6092481636426512e-09,0.0,5.914697594759761e-13,1.0710189547250944e-10,0.0,0.0,0.039361986903502906,0.009999999195422545,0.0499998412827808,0.0,0.0,0.0019999998928981045,0.0,1.5871653449569136e-07,7.779870299774402e-13
8.463926282748824e-13,0.066515776,0.938,0.0,1.6621626651009894e-09,0.0,6.080607078964135e-13,1.1062271999530072e-10,0.0,0.0,0.03936198221921988,0.009999999168968257,0.049999836654955616,0.0,0.0,0.0019999998893772803,0.0,1.6334433717417e-07,8.064234835406013e-13
8.733360082711936e-13,0.066515776,0.938,0.0,1.7150773168977583e-09,0.0,6.244886287824382e-13,1.1414350182279661e-10,0.0,0.0,0.03936197756956523,0.009999999142513972,0.049999832061758905,0.0,0.0,0.001999999885856498,0.0,1.6793751136436618e-07,8.350229587481272e-13
9.002793882675049e-13,0.066515776,0.938,0.0,1.767992117523587e-09,0.0,6.407551244085372e-13,1.176642409585968e-10,0.0,0.0,0.03936197295427984,0.009999999116059696,0.049999827502931575,0.0,0.0,0.0019999998823357593,0.0,1.7249631618102515e-07,8.637838536445365e-13
9.272227682638163e-13,0.066515776,0.938,0.0,1.8209070654841587e-09,0.0,6.568617813009886e-13,1.2118493740627768e-10,0.0,0.0,0.03936196837310655,0.009999999089605426,0.04999982297821645,0.0,0.0,0.0019999998788150625,0.0,1.7702100880001286e-07,8.92704582019473e-13
9.541661482601275e-13,0.066515776,0.938,0.0,1.8738221593000573e-09,0.0,6.728101703926526e-13,1.2470559116939283e-10,0.0,0.0,0.0393619638257901,0.00999999906315116,0.04999981848735826,0.0,0.0,0.001999999875294409,0.0,1.815118444728245e-07,9.217835732529424e-13
9.811095282564388e-13,0.066515776,0.938,0.0,1.9267373975066252e-09,0.0,6.886018471762379e-13,1.2822620225147296e-10,0.0,0.0,0.03936195931207716,0.009999999036696903,0.04999981403010367,0.0,0.0,0.001999999871773798,0.0,1.8596907654098343e-07,9.510192721620682e-13
1e-12,0.066515776,0.938,0.0,1.9638372755204174e-09,0.0,6.995810396251635e-13,1.3069453838637437e-10,0.0,0.0,0.03936195616733869,0.009999999018149366,0.0499998109249492,0.0,0.0,0.0019999998693054624,0.0,1.890742152310046e-07,9.716095523753344e-13
1.00805290825275e-12,0.066515776,0.938,0.0,1.9796527786538097e-09,0.0,7.042383518560631e-13,1.3174677065602608e-10,0.0,0.0,0.03936195483171627,0.00999999901024265,0.049999809606201255,0.0,0.0,0.00199999986825323,0.0,1.9039295645033354e-07,9.804101388493557e-13
1.0349962882490613e-12,0.066515776,0.938,0.0,2.0325683013060227e-09,0.0,7.197212094983275e-13,1.3526729638653794e-10,0.0,0.0,0.039361950384457875,0.009999998983788404,0.04999980521540143,0.0,0.0,0.001999999864732704,0.0,1.9478373376522364e-07,1.0099546485524463e-12
1.0619396682453726e-12,0.066515776,0.938,0.0,2.085483964041997e-09,0.0,7.350519301799025e-13,1.3878777944647175e-10,0.0,0.0,0.03936194597005429,0.009999998957334161,0.0499998008574565,0.0,0.0,0.0019999998612122206,0.0,1.991416561825862e-07,1.0396512914953487e-12
1.0888830482416839e-12,0.066515776,0.938,0.0,2.138399765454638e-09,0.0,7.502320091356624e-13,1.4230821983926894e-10,0.0,0.0,0.039361941588259654,0.009999998930879928,0.049999796532120624,0.0,0.0,0.0019999998576917806,0.0,2.034669695459109e-07,1.0694985727411358e-12
1.1158264282379951e-12,0.066515776,0.938,0.0,2.191315704150893e-09,0.0,7.652629269043657e-13,1.458286175683485e-10,0.0,0.0,0.03936193723882997,0.009999998904425699,0.0499997922391498,0.0,0.0,0.0019999998541713826,0.0,2.077599178591132e-07,1.0994950120460825e-12
1.1427698082343064e-12,0.066515776,0.938,0.0,2.2442317787516028e-09,0.0,7.801461494731034e-13,1.493489726371081e-10,0.0,0.0,0.03936193292152308,0.009999998877971478,0.04999978797830184,0.0,0.0,0.001999999850651028,0.0,2.120207433002992e-07,1.129639143715246e-12
1.1697131882306177e-12,0.066515776,0.938,0.0,2.2971479878913665e-09,0.0,7.948831284203274e-13,1.5286928504892352e-10,0.0,0.0,0.03936192863609859,0.00999999885151726,0.0499997837493364,0.0,0.0,0.0019999998471307155,0.0,2.1624968623542798e-07,1.159929516459459e-12
1.196656568226929e-12,0.066515776,0.938,0.0,2.350064330218406e-09,0.0,8.094753010574719e-13,1.563895548071491e-10,0.0,0.0,0.03936192438231795,0.009999998825063052,0.049999779552014886,0.0,0.0,0.0019999998436104455,0.0,2.2044698523187105e-07,1.1903646932537315e-12
