Time (s),Volume (m^3),NH3_X(8),O_X(9),NH2_X(10),OH_X(11),NH_X(12),N_X(13),NO_X(14),NHO_X(15),N2O_X(16),N2_X(17),H2O_X(18),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.308393211153328e-09,0.08314471999999999,2.3228499528071745e-06,0.00025708034335111113,2.676328121431725e-12,2.5084707501335423e-10,1.2643559895282504e-10,2.742283110619301e-12,3.49840595659884e-17,6.515143998911592e-15,7.10448559134168e-26,-9.504298357124447e-27,1.0985684105703947e-13,0.054,0.0,0.0,0.05872583517559941,0.8798714596996621,6.360366594532802e-12,2.3601619372252565e-25,3.761805165708447e-18,0.06599767701818636,5.0605080789235874e-21
2.316377624245006e-09,0.08314471999999999,2.3228149371720247e-06,0.00025796559396910944,2.676979541226078e-12,2.5261416193422397e-10,1.2733023192064367e-10,2.7812175647688518e-12,3.5665490649582496e-17,6.5841755021090556e-15,-3.431736261604569e-26,-7.717506832303723e-26,1.1066937153637486e-13,0.054,0.0,0.0,0.05872494995729486,0.8798710170734346,6.429441138421463e-12,2.436452717204109e-25,3.8432804281360254e-18,0.06599767705226772,5.0858668240329834e-21
2.324362037336684e-09,0.08314471999999999,2.322779922608746e-06,0.00025885081744738103,2.6776309632490633e-12,2.543875063469284e-10,1.28227891754697e-10,2.8205617846173657e-12,3.6357799432948745e-17,6.653686254497341e-15,-5.254868076901911e-26,6.384080395013122e-26,1.1148528487464388e-13,0.054,0.0,0.0,0.05872406476611925,0.8798705744607735,6.499025567192742e-12,2.514921199668054e-25,3.926219445915638e-18,0.06599767708634456,5.089886576721833e-21
2.332346450428362e-09,0.08314471999999999,2.3227449091172924e-06,0.0002597360137870993,2.678282388738119e-12,2.5616710974736964e-10,1.291285770929822e-10,2.8603185914465616e-12,3.706112200654583e-17,6.723677820233891e-15,9.390132243053086e-26,-1.6974232126546713e-26,1.1230458704151324e-13,0.054,0.0,0.0,0.05872317960207145,0.8798701318616783,6.569121999263898e-12,2.5956213921611875e-25,4.010643158604439e-18,0.06599767712041689,5.07992253277335e-21
2.34033086352004e-09,0.08314471999999999,2.3227098966976165e-06,0.00026062118298948776,2.6789338189150077e-12,2.5795297363369387e-10,1.300322865647823e-10,2.9004908156024164e-12,3.7775595701894906e-17,6.794151762036845e-15,-2.760459732527615e-26,-5.431510646791716e-27,1.1312728402849645e-13,0.054,0.0,0.0,0.05872229446515018,0.8798696892761485,6.639732556783877e-12,2.678608441034149e-25,4.096572729100236e-18,0.06599767715448471,5.074340716108923e-21
2.3483152766117177e-09,0.08314471999999999,2.322674885349666e-06,0.0002615063250558461,2.6795852549860722e-12,2.597450995062545e-10,1.3093901879067553e-10,2.9410812964861494e-12,3.850135909869722e-17,6.865109641181816e-15,-8.703564171154506e-26,1.8543339654115298e-27,1.1395338184895577e-13,0.054,0.0,0.0,0.05872140935535417,0.8798692467041832,6.710859365646977e-12,2.7639386512409895e-25,4.184029545207695e-18,0.06599767718854802,5.075806501413558e-21
2.3562996897033957e-09,0.08314471999999999,2.3226398750733907e-06,0.0002623914399873968,2.6802366981424722e-12,2.6154348886757774e-10,1.318487723825449e-10,2.98209288254516e-12,3.9238552031994247e-17,6.9365530174942564e-15,1.2023118047258099e-25,4.348224568967755e-27,1.1478288653810418e-13,0.054,0.0,0.0,0.058720524272682185,0.8798688041457818,6.7825045555065216e-12,2.8516695064144355e-25,4.273035221209743e-18,0.06599767722260681,5.077907410480458e-21
2.3642841027950736e-09,0.08314471999999999,2.32260486586874e-06,0.0002632765277854238,2.68088814956042e-12,2.6334814322232655e-10,1.3276154594358756e-10,3.0235284312637966e-12,3.998731559941226e-17,7.008483449341247e-15,-1.1102226013518772e-26,-3.629589039861705e-27,1.1561580415300758e-13,0.054,0.0,0.0,0.05871963921713295,0.8798683616009441,6.854670259788518e-12,2.9418596892204374e-25,4.363611599444187e-18,0.06599767725666107,5.076891445001569e-21
2.3722685158867515e-09,0.08314471999999999,2.3225698577356657e-06,0.0002641615884511754,2.681539610401427e-12,2.6515906407726546e-10,1.336773380683244e-10,3.0653908091541976e-12,4.0747792168353353e-17,7.0809024936245554e-15,-1.354897612720461e-25,1.258977741961109e-27,1.1645214077258673e-13,0.054,0.0,0.0,0.058718754188705195,0.8798679190696689,6.927358615705336e-12,3.0345691019890164e-25,4.455780751885435e-18,0.06599767729071083,5.081481374266256e-21
2.3802529289784294e-09,0.08314471999999999,2.322534850674116e-06,0.00026504662198591287,2.682191081812538e-12,2.6697625294122434e-10,1.3459614734260964e-10,3.1076828917471172e-12,4.1520125383156086e-17,7.153811705772262e-15,1.4764955133185251e-25,-1.347458575681968e-27,1.1729190249761924e-13,0.054,0.0,0.0,0.058717869187397666,0.8798674765519557,7.0005717642693815e-12,3.1298588876216285e-25,4.549564981731171e-18,0.06599767732475605,5.078912096386693e-21
