Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
0.0004677623468219353,0.043484688560000005,0.054,0.0,0.025722283579960405,0.0,0.0,4.1952018431291204e-07,0.0,0.0,1.0300721913836181e-05,0.8671388582100176,0.0,0.0,0.0,0.06599958047981586,0.0
0.00046909231370847955,0.043484688560000005,0.054,0.0,0.02572231396003224,0.0,0.0,4.18331304083307e-07,0.0,0.0,1.0271530722231367e-05,0.8671388430199817,0.0,0.0,0.0,0.06599958166869607,0.0
0.0004704222805950238,0.043484688560000005,0.054,0.0,0.025722344168402106,0.0,0.0,4.1714914317835556e-07,0.0,0.0,1.024250451327204e-05,0.8671388279157969,0.0,0.0,0.0,0.06599958285085698,0.0
0.00047175224748156804,0.043484688560000005,0.054,0.0,0.025722374206521535,0.0,0.0,4.159736447939536e-07,0.0,0.0,1.0213641892224564e-05,0.8671388128967371,0.0,0.0,0.0,0.06599958402635539,0.0
0.0004730822143681123,0.043484688560000005,0.054,0.0,0.025722404075825756,0.0,0.0,4.148047527644816e-07,0.0,0.0,1.018494148003224e-05,0.8671387979620852,0.0,0.0,0.0,0.06599958519524739,0.0
0.00047441218125465653,0.043484688560000005,0.054,0.0,0.0257224337777339,0.0,0.0,4.1364241155386156e-07,0.0,0.0,1.0156401913095679e-05,0.8671387831111309,0.0,0.0,0.0,0.0659995863575886,0.0
0.0004757421481412008,0.043484688560000005,0.054,0.0,0.02572246331364925,0.0,0.0,4.124865662467589e-07,0.0,0.0,1.0128021843056844e-05,0.8671387683431734,0.0,0.0,0.0,0.06599958751343392,0.0
0.000477072115027745,0.043484688560000005,0.054,0.0,0.025722492684959426,0.0,0.0,4.113371625399338e-07,0.0,0.0,1.0099799936586661e-05,0.8671387536575182,0.0,0.0,0.0,0.06599958866283762,0.0
0.00047840208191428927,0.043484688560000005,0.054,0.0,0.025722521893036643,0.0,0.0,4.101941467337389e-07,0.0,0.0,1.0071734875176256e-05,0.8671387390534796,0.0,0.0,0.0,0.06599958980585344,0.0
0.0004797320488008335,0.043484688560000005,0.054,0.0,0.025722550939237896,0.0,0.0,4.0905746572375323e-07,0.0,0.0,1.0043825354931569e-05,0.8671387245303789,0.0,0.0,0.0,0.06599959094253444,0.0
0.00048106201568737776,0.043484688560000005,0.054,0.0,0.025722579824905188,0.0,0.0,4.079270669925606e-07,0.0,0.0,1.0016070086371445e-05,0.8671387100875455,0.0,0.0,0.0,0.06599959207293318,0.0
0.000482391982573922,0.043484688560000005,0.054,0.0,0.025722608551365725,0.0,0.0,4.068028986016598e-07,0.0,0.0,9.988467794229041e-06,0.8671386957243152,0.0,0.0,0.0,0.06599959319710157,0.0
