Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10)
1.871747824349355e-07,0.05595639656,0.054,0.0,0.0,0.01929536618278824,0.869799150251439,0.0,0.0,0.0,0.066,0.0,0.020401699497121836
1.884555825371197e-07,0.05595639656,0.054,0.0,0.0,0.01922804790728704,0.8697654911136884,0.0,0.0,0.0,0.066,0.0,0.020469017772623038
1.8973638263930392e-07,0.05595639656,0.054,0.0,0.0,0.019161200291864085,0.869732067305977,0.0,0.0,0.0,0.066,0.0,0.02053586538804599
1.9101718274148814e-07,0.05595639656,0.054,0.0,0.0,0.01909481840008089,0.8696988763600855,0.0,0.0,0.0,0.066,0.0,0.020602247279829185
1.9229798284367235e-07,0.05595639656,0.054,0.0,0.0,0.019028897364473323,0.8696659158422816,0.0,0.0,0.0,0.066,0.0,0.020668168315436754
1.9357878294585656e-07,0.05595639656,0.054,0.0,0.0,0.01896343238534864,0.8696331833527193,0.0,0.0,0.0,0.066,0.0,0.020733633294561436
1.9485958304804078e-07,0.05595639656,0.054,0.0,0.0,0.018898418729607683,0.8696006765248487,0.0,0.0,0.0,0.066,0.0,0.020798646950302393
1.96140383150225e-07,0.05595639656,0.054,0.0,0.0,0.018833851729591528,0.8695683930248407,0.0,0.0,0.0,0.066,0.0,0.020863213950318548
1.974211832524092e-07,0.05595639656,0.054,0.0,0.0,0.018769726781952108,0.8695363305510212,0.0,0.0,0.0,0.066,0.0,0.02092733889795797
1.9870198335459342e-07,0.05595639656,0.054,0.0,0.0,0.018706039346546157,0.869504486833318,0.0,0.0,0.0,0.066,0.0,0.02099102633336392
1.9998278345677764e-07,0.05595639656,0.054,0.0,0.0,0.018642784945351973,0.8694728596327213,0.0,0.0,0.0,0.066,0.0,0.021054280734558103
2.0126358355896185e-07,0.05595639656,0.054,0.0,0.0,0.018579959161408394,0.8694414467407492,0.0,0.0,0.0,0.066,0.0,0.021117106518501683
2.0254438366114606e-07,0.05595639656,0.054,0.0,0.0,0.018517557637775475,0.8694102459789327,0.0,0.0,0.0,0.066,0.0,0.0211795080421346
2.0382518376333028e-07,0.05595639656,0.054,0.0,0.0,0.0184555760765164,0.8693792551983031,0.0,0.0,0.0,0.066,0.0,0.021241489603393678
2.051059838655145e-07,0.05595639656,0.054,0.0,0.0,0.01839401023769999,0.8693484722788949,0.0,0.0,0.0,0.066,0.0,0.021303055442210086
2.063867839676987e-07,0.05595639656,0.054,0.0,0.0,0.018332855938423574,0.8693178951292568,0.0,0.0,0.0,0.066,0.0,0.021364209741486503
2.0766758406988292e-07,0.05595639656,0.054,0.0,0.0,0.01827210905185536,0.8692875216859728,0.0,0.0,0.0,0.066,0.0,0.021424956628054718
2.0894838417206714e-07,0.05595639656,0.054,0.0,0.0,0.01821176550629629,0.8692573499131931,0.0,0.0,0.0,0.066,0.0,0.021485300173613785
2.1022918427425135e-07,0.05595639656,0.054,0.0,0.0,0.018151821284260516,0.8692273778021753,0.0,0.0,0.0,0.066,0.0,0.02154524439564956
2.1150998437643556e-07,0.05595639656,0.054,0.0,0.0,0.018092272421574386,0.8691976033708323,0.0,0.0,0.0,0.066,0.0,0.02160479325833569
2.1279078447861978e-07,0.05595639656,0.054,0.0,0.0,0.01803311500649327,0.8691680246632917,0.0,0.0,0.0,0.066,0.0,0.021663950673416806
2.14071584580804e-07,0.05595639656,0.054,0.0,0.0,0.017974345178835963,0.8691386397494628,0.0,0.0,0.0,0.066,0.0,0.021722720501074114
2.153523846829882e-07,0.05595639656,0.054,0.0,0.0,0.01791595912913623,0.869109446724613,0.0,0.0,0.0,0.066,0.0,0.021781106550773845
2.1663318478517242e-07,0.05595639656,0.054,0.0,0.0,0.01785795309781098,0.8690804437089505,0.0,0.0,0.0,0.066,0.0,0.021839112582099095
2.1791398488735664e-07,0.05595639656,0.054,0.0,0.0,0.017800323374344913,0.8690516288472174,0.0,0.0,0.0,0.066,0.0,0.021896742305565164
2.1919478498954085e-07,0.05595639656,0.054,0.0,0.0,0.017743066296491052,0.8690230003082906,0.0,0.0,0.0,0.066,0.0,0.021953999383419024
2.2047558509172506e-07,0.05595639656,0.054,0.0,0.0,0.01768617824948685,0.8689945562847884,0.0,0.0,0.0,0.066,0.0,0.022010887430423225
2.2175638519390928e-07,0.05595639656,0.054,0.0,0.0,0.017629655665285664,0.8689662949926878,0.0,0.0,0.0,0.066,0.0,0.022067410014624412
2.230371852960935e-07,0.05595639656,0.054,0.0,0.0,0.01757349502180302,0.8689382146709466,0.0,0.0,0.0,0.066,0.0,0.022123570658107057
2.243179853982777e-07,0.05595639656,0.054,0.0,0.0,0.01751769284217751,0.8689103135811339,0.0,0.0,0.0,0.066,0.0,0.022179372837732567
2.2559878550046192e-07,0.05595639656,0.054,0.0,0.0,0.01746224569404588,0.8688825900070679,0.0,0.0,0.0,0.066,0.0,0.022234819985864195
2.2687958560264614e-07,0.05595639656,0.054,0.0,0.0,0.0174071501888321,0.8688550422544612,0.0,0.0,0.0,0.066,0.0,0.022289915491077977
2.2816038570483035e-07,0.05595639656,0.054,0.0,0.0,0.01735240298104999,0.8688276686505699,0.0,0.0,0.0,0.066,0.0,0.022344662698860086
2.2944118580701456e-07,0.05595639656,0.054,0.0,0.0,0.017298000767619164,0.8688004675438545,0.0,0.0,0.0,0.066,0.0,0.022399064912290913
2.3072198590919878e-07,0.05595639656,0.054,0.0,0.0,0.01724394028719401,0.8687734373036421,0.0,0.0,0.0,0.066,0.0,0.022453125392716065
2.32002786011383e-07,0.05595639656,0.054,0.0,0.0,0.017190218319505353,0.8687465763197978,0.0,0.0,0.0,0.066,0.0,0.022506847360404723
