Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),NH3_X(22),O2_ads(49),H2NX(30)
0.008726160505698601,0.05595639656,0.054,0.0,0.0,8.193148844277802e-07,0.8601518774194057,0.0,0.0,0.0,0.06599999879616482,0.0,0.039696245161155025,1.2038349868507835e-09,9.915968541644218e-15,0.0
0.008754261519064206,0.05595639656,0.054,0.0,0.0,8.166858795615087e-07,0.860151876102972,0.0,0.0,0.0,0.06599999880002769,0.0,0.03969624779402274,1.1999721344971948e-09,9.91596985700461e-15,0.0
0.00878236253242981,0.05595639656,0.054,0.0,0.0,8.140737013119054e-07,0.8601518747949638,0.0,0.0,0.0,0.0659999988038658,0.0,0.039696250410039116,1.1961340058808763e-09,9.915971163946292e-15,0.0
0.008810463545795415,0.05595639656,0.054,0.0,0.0,8.114781886772264e-07,0.8601518734953008,0.0,0.0,0.0,0.06599999880767943,0.0,0.03969625300936539,1.1923203644379138e-09,9.915972462549811e-15,0.0
0.00883856455916102,0.05595639656,0.054,0.0,0.0,8.088991827032103e-07,0.860151872203903,0.0,0.0,0.0,0.06599999881146884,0.0,0.03969625559216076,1.1885309766128168e-09,9.915973752894696e-15,0.0
0.008866665572526624,0.05595639656,0.054,0.0,0.0,8.063365264506334e-07,0.8601518709206922,0.0,0.0,0.0,0.06599999881523419,0.0,0.03969625815858236,1.1847656118108406e-09,9.91597503505946e-15,0.0
0.008894766585892229,0.05595639656,0.054,0.0,0.0,8.03790064963481e-07,0.8601518696455908,0.0,0.0,0.0,0.06599999881897577,0.0,0.03969626070878543,1.181024042351226e-09,9.915976309121648e-15,0.0
0.008922867599257834,0.05595639656,0.054,0.0,0.0,8.012596452377183e-07,0.8601518683785218,0.0,0.0,0.0,0.06599999882269374,0.0,0.03969626324292315,1.1773060434213086e-09,9.91597757515779e-15,0.0
0.008950968612623438,0.05595639656,0.054,0.0,0.0,7.987451161906506e-07,0.8601518671194099,0.0,0.0,0.0,0.0659999988263884,0.0,0.039696265761146855,1.1736113930315053e-09,9.915978833243493e-15,0.0
0.008979069625989043,0.05595639656,0.054,0.0,0.0,7.962463286308603e-07,0.8601518658681805,0.0,0.0,0.0,0.06599999883005994,0.0,0.03969626826360593,1.169939871971132e-09,9.915980083453379e-15,0.0
0.009007170639354647,0.05595639656,0.054,0.0,0.0,7.937631352287022e-07,0.8601518646247595,0.0,0.0,0.0,0.06599999883370854,0.0,0.03969627075044793,1.1662912637650597e-09,9.915981325861176e-15,0.0
0.009035271652720252,0.05595639656,0.054,0.0,0.0,7.912953904873557e-07,0.860151863389074,0.0,0.0,0.0,0.06599999883733446,0.0,0.03969627322181859,1.162665354631179e-09,9.915982560539678e-15,0.0
0.009063372666085857,0.05595639656,0.054,0.0,0.0,7.888429507144093e-07,0.8601518621610524,0.0,0.0,0.0,0.06599999884093785,0.0,0.03969627567786178,1.159061933438645e-09,9.915983787560766e-15,0.0
0.009091473679451461,0.05595639656,0.054,0.0,0.0,7.864056739939759e-07,0.8601518609406236,0.0,0.0,0.0,0.06599999884451901,0.0,0.039696278118719654,1.155480791666911e-09,9.91598500699546e-15,0.0
0.009119574692817066,0.05595639656,0.054,0.0,0.0,7.839834201593236e-07,0.860151859727717,0.0,0.0,0.0,0.06599999884807807,0.0,0.03969628054453255,1.1519217233655079e-09,9.915986218913867e-15,0.0
0.00914767570618267,0.05595639656,0.054,0.0,0.0,7.815760507660076e-07,0.8601518585222637,0.0,0.0,0.0,0.06599999885161527,0.0,0.03969628295543915,1.1483845251145706e-09,9.915987423385267e-15,0.0
0.009175776719548275,0.05595639656,0.054,0.0,0.0,7.791834290655007e-07,0.8601518573241952,0.0,0.0,0.0,0.0659999988551308,0.0,0.03969628535157637,1.1448689959860913e-09,9.915988620478069e-15,0.0
0.00920387773291388,0.05595639656,0.054,0.0,0.0,7.768054199793019e-07,0.8601518561334435,0.0,0.0,0.0,0.06599999885862487,0.0,0.039696287733079524,1.1413749375058764e-09,9.915989810259865e-15,0.0
0.009231978746279484,0.05595639656,0.054,0.0,0.0,7.744418900735223e-07,0.8601518549499422,0.0,0.0,0.0,0.06599999886209763,0.0,0.039696290100082215,1.1379021536162047e-09,9.915990992797409e-15,0.0
0.009260079759645089,0.05595639656,0.054,0.0,0.0,7.7209270753393e-07,0.860151853773625,0.0,0.0,0.0,0.06599999886554933,0.0,0.03969629245271646,1.13445045063916e-09,9.915992168156647e-15,0.0
0.009288180773010694,0.05595639656,0.054,0.0,0.0,7.697577421414505e-07,0.8601518526044268,0.0,0.0,0.0,0.06599999886898014,0.0,0.03969629479111266,1.1310196372406346e-09,9.915993336402733e-15,0.0
0.009316281786376298,0.05595639656,0.054,0.0,0.0,7.674368652481098e-07,0.8601518514422835,0.0,0.0,0.0,0.06599999887239026,0.0,0.039696297115399674,1.1276095243949793e-09,9.915994497600035e-15,0.0
0.009344382799741903,0.05595639656,0.054,0.0,0.0,7.651299497534102e-07,0.8601518502871309,0.0,0.0,0.0,0.06599999887577987,0.0,0.039696299425704754,1.1242199253502935e-09,9.915995651812129e-15,0.0
0.009372483813107508,0.05595639656,0.054,0.0,0.0,7.628368700811339e-07,0.8601518491389065,0.0,0.0,0.0,0.06599999887914912,0.0,0.0396963017221537,1.1208506555943415e-09,9.915996799101863e-15,0.0
0.009400584826473112,0.05595639656,0.054,0.0,0.0,7.6055750215656e-07,0.860151847997548,0.0,0.0,0.0,0.06599999888249823,0.0,0.039696304004870744,1.117501532821077e-09,9.915997939531304e-15,0.0
0.009428685839838717,0.05595639656,0.054,0.0,0.0,7.582917233840899e-07,0.8601518468629938,0.0,0.0,0.0,0.0659999988858274,0.0,0.039696306273978674,1.1141723768977687e-09,9.915999073161787e-15,0.0
0.009456786853204321,0.05595639656,0.054,0.0,0.0,7.560394126252719e-07,0.8601518457351838,0.0,0.0,0.0,0.06599999888913677,0.0,0.03969630852959881,1.1108630098327069e-09,9.916000200053932e-15,0.0
0.009484887866569926,0.05595639656,0.054,0.0,0.0,7.538004501772154e-07,0.8601518446140578,0.0,0.0,0.0,0.06599999889242653,0.0,0.03969631077185102,1.1075732557434925e-09,9.916001320267614e-15,0.0
0.00951298887993553,0.05595639656,0.054,0.0,0.0,7.51574717751391e-07,0.8601518434995563,0.0,0.0,0.0,0.06599999889569685,0.0,0.03969631300085375,1.1043029408258839e-09,9.916002433862013e-15,0.0
0.009541089893301135,0.05595639656,0.054,0.0,0.0,7.493620984527981e-07,0.860151842391621,0.0,0.0,0.0,0.06599999889894789,0.0,0.03969631521672409,1.1010518933231871e-09,9.916003540895621e-15,0.0
0.00956919090666674,0.05595639656,0.054,0.0,0.0,7.471624767595084e-07,0.8601518412901943,0.0,0.0,0.0,0.06599999890217985,0.0,0.03969631741957774,1.0978199434962015e-09,9.916004641426243e-15,0.0
0.009597291920032345,0.05595639656,0.054,0.0,0.0,7.449757385025622e-07,0.8601518401952186,0.0,0.0,0.0,0.06599999890539288,0.0,0.03969631960952902,1.0946069235936774e-09,9.916005735510984e-15,0.0
0.00962539293339795,0.05595639656,0.054,0.0,0.0,7.428017708462193e-07,0.8601518391066376,0.0,0.0,0.0,0.06599999890858711,0.0,0.039696321786690934,1.0914126678232998e-09,9.916006823206309e-15,0.0
0.009653493946763554,0.05595639656,0.054,0.0,0.0,7.406404622685561e-07,0.8601518380243954,0.0,0.0,0.0,0.06599999891176277,0.0,0.03969632395117516,1.0882370123231805e-09,9.916007904568004e-15,0.0
0.009681594960129158,0.05595639656,0.054,0.0,0.0,7.384917025423968e-07,0.8601518369484371,0.0,0.0,0.0,0.06599999891491999,0.0,0.0396963261030921,1.0850797951338361e-09,9.916008979651233e-15,0.0
0.009709695973494763,0.05595639656,0.054,0.0,0.0,7.363553827165801e-07,0.8601518358787078,0.0,0.0,0.0,0.06599999891805891,0.0,0.03969632824255087,1.0819408561706664e-09,9.916010048510496e-15,0.0
0.009737796986860368,0.05595639656,0.054,0.0,0.0,7.342313950975467e-07,0.8601518348151536,0.0,0.0,0.0,0.06599999892117973,0.0,0.039696330369659305,1.0788200371968985e-09,9.916011111199669e-15,0.0
0.009765898000225972,0.05595639656,0.054,0.0,0.0,7.321196332312478e-07,0.8601518337577211,0.0,0.0,0.0,0.06599999892428259,0.0,0.039696332484524026,1.0757171817970035e-09,9.916012167772025e-15,0.0
0.009793999013591577,0.05595639656,0.054,0.0,0.0,7.300199918853617e-07,0.860151832706358,0.0,0.0,0.0,0.06599999892736763,0.0,0.03969633458725042,1.0726321353505703e-09,9.916013218280208e-15,0.0
0.009822100026957182,0.05595639656,0.054,0.0,0.0,7.279323670318181e-07,0.8601518316610117,0.0,0.0,0.0,0.06599999893043502,0.0,0.03969633667794267,1.0695647450066244e-09,9.916014262776271e-15,0.0
0.009850201040322786,0.05595639656,0.054,0.0,0.0,7.258566558296216e-07,0.8601518306216311,0.0,0.0,0.0,0.06599999893348492,0.0,0.03969633875670375,1.0665148596583924e-09,9.916015301311648e-15,0.0
0.009906403067053994,0.05595639656,0.054,0.0,0.0,7.217405688503992e-07,0.8601518285605638,0.0,0.0,0.0,0.06599999893953276,0.0,0.03969634287883858,1.0604670080956518e-09,9.916017360703293e-15,0.0
